,celeba_age,identity,gender,race
72,0.121,0.382,0.291,0.020
109,0.119,0.407,0.390,0.139
33,0.107,0.380,0.242,0.073
159,0.103,0.385,0.244,0.072
102,0.103,0.351,0.233,0.022
3,0.095,0.388,0.182,0.019
138,0.095,0.388,0.376,0.025
28,0.094,0.342,0.333,0.036
98,0.090,0.398,0.242,0.048
51,0.089,0.336,0.429,0.034
167,0.089,0.365,0.134,0.024
78,0.088,0.361,0.514,0.047
111,0.086,0.353,0.260,0.058
26,0.083,0.398,0.437,0.084
107,0.080,0.393,0.107,0.027
170,0.078,0.364,0.248,0.048
91,0.075,0.330,0.011,0.084
125,0.073,0.330,0.118,0.077
115,0.072,0.296,0.325,0.006
75,0.072,0.379,0.196,0.010
37,0.072,0.368,0.337,0.112
29,0.070,0.317,0.341,0.078
172,0.070,0.409,0.577,0.095
93,0.068,0.312,0.195,0.006
80,0.068,0.307,0.109,0.034
105,0.067,0.362,0.382,0.062
49,0.067,0.315,0.346,0.036
86,0.065,0.320,0.265,0.033
143,0.063,0.287,0.246,0.040
133,0.063,0.327,0.286,0.051
31,0.063,0.344,0.257,0.053
42,0.062,0.264,0.019,0.006
40,0.062,0.338,0.141,0.046
140,0.062,0.338,0.233,0.008
185,0.062,0.391,0.340,0.073
175,0.061,0.270,0.066,0.016
96,0.060,0.318,0.101,0.022
19,0.060,0.296,0.107,0.067
63,0.059,0.349,0.253,0.041
114,0.058,0.315,0.045,0.046
181,0.057,0.343,0.058,0.073
127,0.057,0.261,0.173,0.024
30,0.057,0.257,0.045,0.027
182,0.056,0.336,0.098,0.078
196,0.056,0.306,0.149,0.025
131,0.055,0.395,0.101,0.007
190,0.055,0.322,0.299,0.057
25,0.054,0.316,0.325,0.008
188,0.054,0.379,0.401,0.034
84,0.053,0.335,0.140,0.015
55,0.052,0.311,0.186,0.038
6,0.050,0.330,0.281,0.080
50,0.050,0.305,0.219,0.030
154,0.049,0.315,0.166,0.025
144,0.049,0.359,0.318,0.087
132,0.049,0.275,0.129,0.054
165,0.049,0.313,0.125,0.052
77,0.048,0.374,0.333,0.042
38,0.048,0.330,0.136,0.090
106,0.048,0.234,0.010,0.010
163,0.047,0.301,0.030,0.060
20,0.047,0.319,0.267,0.008
121,0.047,0.256,0.297,0.042
142,0.046,0.301,0.064,0.088
5,0.045,0.301,0.062,0.106
178,0.044,0.301,0.242,0.012
151,0.043,0.283,0.010,0.019
166,0.043,0.289,0.153,0.072
180,0.043,0.253,0.131,0.009
164,0.042,0.306,0.013,0.077
108,0.042,0.344,0.133,0.029
118,0.041,0.281,0.085,0.063
8,0.041,0.271,0.037,0.063
148,0.040,0.352,0.324,0.100
130,0.040,0.250,0.057,0.081
67,0.040,0.299,0.288,0.057
48,0.040,0.325,0.037,0.087
146,0.040,0.300,0.087,0.046
0,0.039,0.298,0.100,0.046
34,0.039,0.301,0.032,0.056
183,0.039,0.326,0.106,0.016
7,0.038,0.286,0.219,0.035
58,0.037,0.326,0.227,0.033
156,0.037,0.301,0.090,0.027
90,0.036,0.257,0.051,0.036
61,0.036,0.336,0.259,0.032
53,0.035,0.296,0.270,0.018
168,0.034,0.281,0.162,0.012
79,0.033,0.307,0.222,0.066
147,0.032,0.324,0.055,0.024
14,0.031,0.312,0.316,0.040
69,0.031,0.328,0.122,0.037
15,0.031,0.358,0.318,0.089
100,0.031,0.342,0.262,0.088
191,0.031,0.336,0.303,0.026
89,0.031,0.251,0.014,0.027
112,0.030,0.241,0.049,0.020
56,0.030,0.319,0.211,0.046
160,0.030,0.287,0.090,0.093
9,0.029,0.335,0.062,0.017
141,0.029,0.293,0.131,0.012
52,0.028,0.289,0.007,0.028
12,0.028,0.298,0.022,0.014
179,0.028,0.348,0.298,0.036
18,0.027,0.326,0.435,0.016
101,0.027,0.298,0.091,0.080
126,0.026,0.278,0.015,0.010
171,0.026,0.296,0.190,0.005
129,0.026,0.390,0.419,0.066
43,0.025,0.274,0.097,0.112
189,0.024,0.290,0.005,0.004
192,0.024,0.338,0.303,0.040
65,0.024,0.234,0.061,0.083
197,0.024,0.288,0.157,0.014
71,0.024,0.252,0.249,0.012
83,0.024,0.260,0.007,0.042
195,0.024,0.299,0.180,0.081
13,0.024,0.342,0.291,0.025
88,0.024,0.283,0.018,0.073
128,0.024,0.297,0.022,0.039
103,0.024,0.316,0.159,0.043
113,0.023,0.324,0.008,0.028
44,0.023,0.315,0.111,0.031
136,0.023,0.258,0.087,0.049
104,0.023,0.263,0.040,0.023
21,0.023,0.272,0.208,0.022
162,0.023,0.376,0.431,0.003
82,0.023,0.312,0.103,0.032
27,0.022,0.291,0.143,0.003
45,0.022,0.259,0.108,0.010
94,0.022,0.296,0.087,0.084
95,0.022,0.304,0.012,0.003
54,0.021,0.319,0.043,0.005
59,0.021,0.347,0.113,0.052
10,0.020,0.344,0.485,0.049
122,0.019,0.280,0.176,0.076
60,0.019,0.310,0.222,0.020
68,0.019,0.194,0.047,0.034
149,0.019,0.260,0.141,0.006
145,0.018,0.312,0.150,0.076
23,0.018,0.285,0.296,0.005
36,0.018,0.348,0.434,0.001
64,0.017,0.262,0.040,0.012
176,0.017,0.295,0.142,0.050
174,0.016,0.321,0.177,0.012
99,0.016,0.226,0.108,0.026
139,0.016,0.314,0.059,0.025
32,0.016,0.244,0.075,0.064
81,0.015,0.273,0.135,0.015
123,0.015,0.299,0.105,0.049
161,0.015,0.292,0.128,0.056
35,0.015,0.260,0.101,0.077
24,0.015,0.278,0.033,0.055
169,0.015,0.354,0.020,0.002
134,0.014,0.380,0.087,0.100
85,0.014,0.311,0.028,0.071
184,0.014,0.311,0.259,0.055
92,0.013,0.332,0.148,0.071
2,0.013,0.309,0.217,0.059
157,0.013,0.264,0.084,0.025
66,0.013,0.278,0.070,0.013
186,0.012,0.274,0.296,0.036
117,0.011,0.223,0.129,0.015
177,0.011,0.292,0.122,0.016
187,0.011,0.233,0.146,0.015
97,0.010,0.286,0.270,0.002
41,0.009,0.294,0.097,0.021
173,0.009,0.298,0.163,0.013
135,0.009,0.350,0.432,0.023
76,0.009,0.266,0.053,0.029
46,0.008,0.241,0.114,0.004
158,0.007,0.291,0.095,0.034
150,0.007,0.280,0.112,0.067
153,0.007,0.251,0.058,0.023
120,0.006,0.300,0.138,0.001
73,0.006,0.263,0.349,0.027
62,0.006,0.281,0.068,0.018
155,0.006,0.283,0.215,0.050
4,0.005,0.289,0.175,0.016
39,0.005,0.296,0.115,0.005
193,0.005,0.327,0.237,0.051
47,0.004,0.271,0.005,0.026
17,0.004,0.301,0.019,0.090
1,0.004,0.318,0.116,0.042
124,0.003,0.320,0.102,0.038
152,0.003,0.313,0.224,0.029
22,0.002,0.377,0.460,0.035
16,0.002,0.244,0.104,0.009
70,0.002,0.299,0.079,0.009
74,0.002,0.277,0.111,0.052
116,0.002,0.322,0.310,0.005
110,0.002,0.307,0.034,0.008
57,0.002,0.281,0.122,0.066
198,0.001,0.285,0.345,0.012
87,0.001,0.299,0.155,0.082
137,0.001,0.275,0.083,0.069
119,0.001,0.306,0.190,0.041
199,0.001,0.343,0.220,0.069
194,0.001,0.279,0.122,0.010
11,0.000,0.277,0.102,0.075
