,celeba_age,identity,gender,race
172,0.070,0.409,0.577,0.095
109,0.119,0.407,0.390,0.139
26,0.083,0.398,0.437,0.084
98,0.090,0.398,0.242,0.048
131,0.055,0.395,0.101,0.007
107,0.080,0.393,0.107,0.027
185,0.062,0.391,0.340,0.073
129,0.026,0.390,0.419,0.066
138,0.095,0.388,0.376,0.025
3,0.095,0.388,0.182,0.019
159,0.103,0.385,0.244,0.072
72,0.121,0.382,0.291,0.020
33,0.107,0.380,0.242,0.073
134,0.014,0.380,0.087,0.100
75,0.072,0.379,0.196,0.010
188,0.054,0.379,0.401,0.034
22,0.002,0.377,0.460,0.035
162,0.023,0.376,0.431,0.003
77,0.048,0.374,0.333,0.042
37,0.072,0.368,0.337,0.112
167,0.089,0.365,0.134,0.024
170,0.078,0.364,0.248,0.048
105,0.067,0.362,0.382,0.062
78,0.088,0.361,0.514,0.047
144,0.049,0.359,0.318,0.087
15,0.031,0.358,0.318,0.089
169,0.015,0.354,0.020,0.002
111,0.086,0.353,0.260,0.058
148,0.040,0.352,0.324,0.100
102,0.103,0.351,0.233,0.022
135,0.009,0.350,0.432,0.023
63,0.059,0.349,0.253,0.041
36,0.018,0.348,0.434,0.001
179,0.028,0.348,0.298,0.036
59,0.021,0.347,0.113,0.052
108,0.042,0.344,0.133,0.029
31,0.063,0.344,0.257,0.053
10,0.020,0.344,0.485,0.049
199,0.001,0.343,0.220,0.069
181,0.057,0.343,0.058,0.073
28,0.094,0.342,0.333,0.036
100,0.031,0.342,0.262,0.088
13,0.024,0.342,0.291,0.025
40,0.062,0.338,0.141,0.046
140,0.062,0.338,0.233,0.008
192,0.024,0.338,0.303,0.040
51,0.089,0.336,0.429,0.034
182,0.056,0.336,0.098,0.078
191,0.031,0.336,0.303,0.026
61,0.036,0.336,0.259,0.032
84,0.053,0.335,0.140,0.015
9,0.029,0.335,0.062,0.017
92,0.013,0.332,0.148,0.071
6,0.050,0.330,0.281,0.080
38,0.048,0.330,0.136,0.090
91,0.075,0.330,0.011,0.084
125,0.073,0.330,0.118,0.077
69,0.031,0.328,0.122,0.037
133,0.063,0.327,0.286,0.051
193,0.005,0.327,0.237,0.051
18,0.027,0.326,0.435,0.016
183,0.039,0.326,0.106,0.016
58,0.037,0.326,0.227,0.033
48,0.040,0.325,0.037,0.087
113,0.023,0.324,0.008,0.028
147,0.032,0.324,0.055,0.024
190,0.055,0.322,0.299,0.057
116,0.002,0.322,0.310,0.005
174,0.016,0.321,0.177,0.012
86,0.065,0.320,0.265,0.033
124,0.003,0.320,0.102,0.038
56,0.030,0.319,0.211,0.046
20,0.047,0.319,0.267,0.008
54,0.021,0.319,0.043,0.005
96,0.060,0.318,0.101,0.022
1,0.004,0.318,0.116,0.042
29,0.070,0.317,0.341,0.078
103,0.024,0.316,0.159,0.043
25,0.054,0.316,0.325,0.008
44,0.023,0.315,0.111,0.031
114,0.058,0.315,0.045,0.046
49,0.067,0.315,0.346,0.036
154,0.049,0.315,0.166,0.025
139,0.016,0.314,0.059,0.025
152,0.003,0.313,0.224,0.029
165,0.049,0.313,0.125,0.052
14,0.031,0.312,0.316,0.040
93,0.068,0.312,0.195,0.006
145,0.018,0.312,0.150,0.076
82,0.023,0.312,0.103,0.032
55,0.052,0.311,0.186,0.038
184,0.014,0.311,0.259,0.055
85,0.014,0.311,0.028,0.071
60,0.019,0.310,0.222,0.020
2,0.013,0.309,0.217,0.059
80,0.068,0.307,0.109,0.034
79,0.033,0.307,0.222,0.066
110,0.002,0.307,0.034,0.008
196,0.056,0.306,0.149,0.025
164,0.042,0.306,0.013,0.077
119,0.001,0.306,0.190,0.041
50,0.050,0.305,0.219,0.030
95,0.022,0.304,0.012,0.003
142,0.046,0.301,0.064,0.088
17,0.004,0.301,0.019,0.090
34,0.039,0.301,0.032,0.056
178,0.044,0.301,0.242,0.012
163,0.047,0.301,0.030,0.060
156,0.037,0.301,0.090,0.027
