,celeba_age,identity,gender,race
109,0.006,0.304,0.081,0.128
172,0.035,0.320,0.062,0.122
113,0.010,0.291,0.126,0.110
102,0.038,0.316,0.004,0.109
180,0.048,0.377,0.224,0.109
156,0.071,0.379,0.282,0.108
14,0.109,0.385,0.204,0.100
60,0.057,0.325,0.151,0.100
160,0.012,0.256,0.015,0.099
99,0.019,0.293,0.115,0.095
41,0.077,0.343,0.255,0.094
106,0.100,0.383,0.139,0.093
87,0.029,0.339,0.358,0.087
101,0.025,0.286,0.016,0.086
197,0.028,0.297,0.105,0.086
186,0.013,0.253,0.058,0.086
169,0.013,0.315,0.083,0.085
146,0.054,0.410,0.505,0.084
158,0.059,0.358,0.362,0.082
151,0.042,0.322,0.004,0.082
98,0.017,0.293,0.015,0.082
120,0.037,0.321,0.089,0.082
74,0.040,0.315,0.010,0.082
9,0.058,0.372,0.318,0.080
131,0.034,0.333,0.050,0.075
93,0.002,0.312,0.133,0.075
124,0.074,0.380,0.364,0.074
73,0.045,0.315,0.272,0.074
24,0.070,0.365,0.217,0.073
22,0.005,0.320,0.099,0.072
167,0.050,0.359,0.221,0.072
119,0.003,0.319,0.005,0.071
16,0.071,0.335,0.175,0.070
149,0.023,0.334,0.082,0.070
42,0.093,0.344,0.259,0.069
48,0.009,0.261,0.057,0.068
37,0.035,0.310,0.283,0.067
1,0.028,0.335,0.240,0.067
175,0.043,0.351,0.312,0.066
54,0.013,0.327,0.221,0.065
13,0.022,0.267,0.125,0.064
154,0.037,0.374,0.334,0.062
107,0.027,0.279,0.043,0.060
182,0.048,0.300,0.241,0.059
56,0.055,0.317,0.120,0.059
46,0.032,0.339,0.229,0.058
28,0.008,0.302,0.250,0.056
189,0.065,0.361,0.252,0.056
117,0.007,0.351,0.002,0.055
193,0.019,0.286,0.073,0.055
136,0.014,0.370,0.414,0.055
139,0.013,0.326,0.048,0.054
67,0.011,0.287,0.024,0.054
64,0.061,0.274,0.268,0.054
168,0.054,0.293,0.132,0.054
88,0.058,0.402,0.168,0.053
90,0.011,0.272,0.041,0.051
196,0.030,0.369,0.355,0.050
31,0.083,0.346,0.412,0.050
110,0.020,0.274,0.031,0.050
89,0.066,0.288,0.167,0.049
132,0.058,0.348,0.290,0.049
75,0.009,0.289,0.145,0.048
15,0.006,0.331,0.285,0.048
92,0.064,0.313,0.037,0.048
96,0.000,0.276,0.202,0.045
85,0.034,0.291,0.094,0.045
38,0.005,0.247,0.097,0.044
20,0.016,0.266,0.010,0.044
103,0.009,0.269,0.174,0.042
144,0.020,0.289,0.060,0.042
40,0.040,0.296,0.061,0.042
12,0.031,0.318,0.127,0.042
11,0.050,0.333,0.039,0.042
116,0.038,0.328,0.229,0.042
121,0.042,0.329,0.275,0.041
76,0.042,0.299,0.260,0.041
155,0.008,0.293,0.205,0.040
2,0.004,0.366,0.350,0.040
17,0.079,0.324,0.229,0.040
129,0.045,0.349,0.433,0.039
81,0.045,0.331,0.258,0.039
100,0.062,0.352,0.337,0.039
95,0.055,0.311,0.120,0.038
111,0.026,0.317,0.055,0.038
57,0.010,0.324,0.322,0.037
153,0.027,0.274,0.074,0.037
79,0.010,0.266,0.108,0.036
66,0.032,0.233,0.148,0.035
199,0.066,0.326,0.088,0.034
164,0.099,0.374,0.122,0.034
7,0.042,0.284,0.184,0.034
190,0.005,0.306,0.125,0.033
94,0.031,0.284,0.138,0.032
184,0.007,0.347,0.126,0.032
69,0.031,0.288,0.023,0.032
135,0.033,0.320,0.110,0.032
195,0.051,0.336,0.310,0.031
33,0.070,0.300,0.183,0.031
126,0.026,0.271,0.021,0.031
70,0.002,0.315,0.175,0.031
25,0.036,0.313,0.072,0.030
125,0.006,0.328,0.006,0.029
47,0.035,0.275,0.194,0.029
138,0.014,0.302,0.140,0.029
115,0.017,0.301,0.067,0.028
78,0.052,0.327,0.289,0.028
137,0.013,0.297,0.180,0.028
52,0.013,0.329,0.276,0.028
32,0.017,0.236,0.118,0.028
77,0.008,0.264,0.037,0.028
23,0.004,0.346,0.133,0.027
181,0.045,0.351,0.025,0.027
187,0.040,0.271,0.095,0.027
30,0.035,0.289,0.284,0.027
176,0.054,0.361,0.368,0.027
163,0.024,0.258,0.057,0.026
3,0.025,0.332,0.352,0.026
112,0.002,0.286,0.107,0.026
127,0.010,0.294,0.256,0.026
170,0.042,0.270,0.044,0.026
21,0.022,0.307,0.060,0.025
50,0.011,0.319,0.082,0.025
62,0.108,0.356,0.271,0.025
5,0.065,0.346,0.483,0.024
44,0.022,0.263,0.107,0.023
86,0.029,0.236,0.093,0.023
157,0.019,0.343,0.308,0.022
58,0.029,0.374,0.391,0.022
91,0.031,0.282,0.198,0.022
71,0.008,0.273,0.086,0.021
173,0.024,0.352,0.507,0.021
34,0.000,0.290,0.065,0.021
36,0.043,0.349,0.113,0.020
142,0.053,0.284,0.317,0.020
68,0.063,0.357,0.205,0.020
26,0.013,0.270,0.099,0.019
134,0.062,0.379,0.107,0.019
82,0.004,0.252,0.005,0.018
4,0.010,0.236,0.014,0.018
145,0.088,0.373,0.205,0.018
6,0.101,0.338,0.212,0.018
177,0.021,0.284,0.146,0.017
166,0.074,0.274,0.214,0.016
84,0.085,0.376,0.398,0.016
165,0.053,0.237,0.125,0.016
183,0.010,0.254,0.038,0.016
108,0.012,0.342,0.190,0.015
171,0.026,0.329,0.240,0.015
133,0.036,0.311,0.089,0.015
162,0.041,0.346,0.074,0.014
185,0.022,0.303,0.024,0.013
27,0.070,0.355,0.459,0.013
192,0.023,0.359,0.104,0.012
122,0.031,0.324,0.372,0.012
178,0.018,0.320,0.226,0.012
43,0.032,0.258,0.094,0.012
147,0.003,0.301,0.176,0.011
8,0.086,0.380,0.298,0.011
143,0.004,0.294,0.109,0.011
65,0.060,0.346,0.249,0.011
159,0.026,0.274,0.076,0.011
140,0.075,0.364,0.058,0.010
174,0.011,0.279,0.170,0.010
49,0.031,0.356,0.394,0.010
191,0.033,0.317,0.092,0.010
123,0.012,0.304,0.188,0.009
97,0.002,0.238,0.159,0.008
141,0.095,0.348,0.262,0.008
198,0.026,0.291,0.059,0.008
179,0.074,0.371,0.143,0.008
188,0.009,0.270,0.180,0.007
10,0.019,0.301,0.188,0.007
39,0.041,0.274,0.064,0.007
53,0.036,0.269,0.203,0.006
118,0.003,0.271,0.069,0.006
83,0.007,0.268,0.001,0.006
130,0.014,0.294,0.007,0.006
72,0.026,0.246,0.132,0.005
80,0.010,0.302,0.092,0.005
18,0.027,0.302,0.179,0.005
152,0.005,0.276,0.103,0.005
0,0.026,0.286,0.095,0.005
35,0.022,0.290,0.079,0.005
45,0.008,0.281,0.091,0.004
61,0.012,0.245,0.015,0.004
63,0.072,0.337,0.160,0.004
161,0.035,0.285,0.155,0.004
194,0.051,0.292,0.204,0.003
59,0.041,0.291,0.064,0.003
19,0.057,0.335,0.132,0.003
148,0.076,0.336,0.257,0.003
51,0.030,0.283,0.062,0.002
150,0.043,0.235,0.068,0.002
128,0.035,0.329,0.217,0.002
114,0.053,0.376,0.162,0.001
104,0.040,0.298,0.199,0.001
105,0.045,0.314,0.089,0.001
29,0.025,0.236,0.203,0.000
55,0.016,0.255,0.149,0.000
