,celeba_age,identity,gender,race
164,0.158,0.595,0.193,0.054
6,0.151,0.505,0.317,0.026
140,0.148,0.717,0.115,0.020
62,0.142,0.469,0.356,0.032
106,0.140,0.536,0.194,0.131
92,0.139,0.679,0.079,0.103
14,0.136,0.483,0.255,0.126
141,0.133,0.488,0.368,0.011
145,0.129,0.545,0.300,0.026
166,0.128,0.474,0.370,0.028
199,0.128,0.635,0.170,0.067
63,0.126,0.588,0.280,0.007
150,0.125,0.675,0.195,0.005
179,0.124,0.622,0.241,0.013
165,0.123,0.550,0.290,0.037
42,0.121,0.449,0.339,0.090
33,0.120,0.514,0.313,0.053
17,0.118,0.482,0.341,0.059
89,0.116,0.505,0.293,0.086
148,0.113,0.500,0.383,0.004
8,0.111,0.490,0.384,0.014
134,0.110,0.668,0.188,0.034
170,0.110,0.708,0.115,0.067
16,0.109,0.514,0.270,0.107
11,0.108,0.718,0.084,0.090
19,0.108,0.636,0.251,0.005
39,0.106,0.711,0.165,0.018
95,0.105,0.594,0.228,0.073
59,0.103,0.729,0.161,0.007
168,0.101,0.551,0.247,0.101
181,0.101,0.783,0.055,0.061
41,0.100,0.446,0.332,0.122
105,0.100,0.700,0.199,0.002
56,0.099,0.576,0.218,0.107
84,0.097,0.430,0.454,0.018
68,0.097,0.554,0.319,0.030
24,0.096,0.504,0.300,0.100
64,0.093,0.417,0.408,0.082
31,0.093,0.388,0.462,0.056
187,0.092,0.625,0.220,0.063
194,0.092,0.531,0.370,0.006
151,0.092,0.716,0.009,0.183
40,0.092,0.673,0.139,0.096
60,0.091,0.513,0.239,0.157
74,0.090,0.705,0.021,0.183
65,0.090,0.521,0.374,0.016
189,0.089,0.492,0.343,0.076
114,0.089,0.635,0.274,0.002
162,0.087,0.729,0.155,0.029
88,0.085,0.590,0.246,0.078
156,0.085,0.451,0.336,0.128
36,0.083,0.664,0.215,0.038
124,0.082,0.426,0.408,0.083
69,0.082,0.771,0.062,0.086
102,0.081,0.677,0.009,0.234
25,0.080,0.694,0.160,0.066
43,0.080,0.653,0.238,0.029
51,0.079,0.751,0.164,0.006
133,0.079,0.691,0.197,0.033
100,0.079,0.446,0.426,0.049
142,0.078,0.422,0.470,0.029
27,0.078,0.396,0.512,0.014
132,0.077,0.467,0.390,0.066
86,0.077,0.619,0.244,0.059
7,0.077,0.521,0.339,0.062
126,0.074,0.778,0.060,0.088
182,0.074,0.463,0.371,0.091
78,0.074,0.470,0.415,0.041
85,0.074,0.627,0.202,0.097
104,0.074,0.554,0.370,0.002
161,0.073,0.596,0.323,0.008
191,0.072,0.703,0.203,0.022
66,0.071,0.520,0.331,0.078
53,0.071,0.522,0.395,0.012
167,0.071,0.512,0.315,0.102
195,0.071,0.460,0.426,0.043
5,0.071,0.377,0.526,0.026
9,0.070,0.450,0.384,0.096
120,0.070,0.606,0.169,0.155
131,0.069,0.677,0.101,0.153
158,0.069,0.415,0.420,0.095
159,0.069,0.708,0.196,0.027
135,0.067,0.646,0.223,0.064
81,0.067,0.492,0.383,0.058
163,0.067,0.705,0.155,0.072
198,0.067,0.758,0.155,0.021
153,0.067,0.663,0.180,0.090
47,0.066,0.515,0.364,0.055
176,0.066,0.446,0.455,0.033
107,0.066,0.682,0.104,0.148
76,0.065,0.465,0.406,0.064
172,0.064,0.593,0.116,0.227
94,0.064,0.585,0.284,0.067
73,0.064,0.446,0.386,0.105
0,0.063,0.695,0.231,0.011
180,0.063,0.498,0.295,0.143
72,0.063,0.602,0.324,0.012
121,0.062,0.479,0.400,0.060
185,0.062,0.836,0.067,0.036
12,0.060,0.614,0.245,0.081
101,0.060,0.691,0.039,0.209
128,0.059,0.565,0.373,0.003
111,0.059,0.727,0.126,0.087
116,0.059,0.515,0.360,0.065
91,0.058,0.530,0.371,0.041
30,0.055,0.454,0.447,0.043
175,0.055,0.455,0.404,0.086
35,0.055,0.734,0.200,0.011
197,0.054,0.575,0.203,0.167
29,0.054,0.508,0.437,0.000
21,0.054,0.741,0.145,0.061
44,0.053,0.634,0.258,0.055
110,0.052,0.732,0.082,0.133
18,0.052,0.589,0.350,0.009
129,0.052,0.403,0.499,0.045
146,0.051,0.390,0.480,0.079
37,0.050,0.446,0.407,0.097
46,0.049,0.515,0.348,0.088
144,0.048,0.704,0.145,0.103
20,0.047,0.793,0.030,0.130
154,0.046,0.463,0.414,0.077
13,0.046,0.558,0.261,0.134
192,0.046,0.721,0.209,0.025
177,0.045,0.607,0.312,0.036
149,0.044,0.657,0.161,0.137
32,0.044,0.591,0.295,0.070
193,0.043,0.660,0.169,0.128
130,0.043,0.916,0.023,0.018
171,0.043,0.539,0.393,0.025
61,0.042,0.891,0.053,0.015
1,0.042,0.500,0.359,0.099
122,0.042,0.439,0.503,0.016
98,0.041,0.719,0.038,0.202
115,0.041,0.728,0.163,0.069
49,0.039,0.450,0.498,0.013
55,0.038,0.607,0.354,0.000
196,0.037,0.459,0.442,0.062
99,0.036,0.561,0.220,0.183
4,0.036,0.847,0.052,0.064
10,0.036,0.585,0.365,0.013
58,0.036,0.458,0.479,0.027
87,0.035,0.417,0.440,0.107
3,0.033,0.451,0.479,0.036
26,0.033,0.672,0.247,0.048
183,0.031,0.799,0.119,0.050
178,0.031,0.556,0.392,0.020
160,0.031,0.670,0.039,0.260
186,0.031,0.618,0.142,0.209
90,0.030,0.725,0.108,0.137
139,0.029,0.739,0.108,0.123
67,0.029,0.763,0.064,0.144
138,0.029,0.624,0.288,0.059
157,0.027,0.495,0.445,0.032
169,0.027,0.634,0.168,0.171
173,0.026,0.389,0.562,0.023
83,0.025,0.949,0.005,0.021
137,0.025,0.573,0.348,0.054
80,0.024,0.738,0.226,0.012
77,0.024,0.783,0.111,0.082
50,0.024,0.730,0.188,0.058
79,0.024,0.633,0.257,0.086
174,0.023,0.594,0.361,0.021
48,0.023,0.661,0.143,0.173
123,0.023,0.593,0.367,0.017
71,0.021,0.704,0.221,0.054
45,0.021,0.730,0.237,0.012
108,0.021,0.612,0.339,0.028
54,0.021,0.522,0.353,0.104
52,0.021,0.509,0.427,0.043
75,0.019,0.588,0.295,0.098
188,0.019,0.579,0.386,0.015
113,0.018,0.543,0.235,0.204
103,0.018,0.544,0.353,0.086
127,0.018,0.502,0.437,0.044
125,0.017,0.886,0.017,0.080
136,0.016,0.434,0.486,0.064
117,0.016,0.847,0.004,0.134
155,0.014,0.536,0.376,0.074
82,0.014,0.903,0.018,0.065
57,0.014,0.467,0.465,0.054
184,0.014,0.677,0.246,0.063
28,0.013,0.490,0.405,0.091
38,0.013,0.629,0.247,0.111
109,0.012,0.586,0.155,0.247
152,0.012,0.710,0.266,0.012
190,0.010,0.653,0.266,0.071
15,0.009,0.494,0.426,0.071
22,0.009,0.646,0.199,0.146
143,0.009,0.704,0.261,0.026
118,0.008,0.777,0.198,0.017
23,0.008,0.678,0.261,0.054
119,0.008,0.803,0.012,0.177
147,0.007,0.612,0.358,0.023
2,0.006,0.481,0.460,0.053
112,0.005,0.679,0.254,0.062
97,0.004,0.584,0.391,0.021
93,0.004,0.597,0.255,0.144
70,0.003,0.603,0.335,0.059
34,0.001,0.772,0.172,0.055
96,0.000,0.527,0.386,0.086
