,celeba_age,identity,gender,race
36,0.022,0.435,0.542,0.002
73,0.010,0.408,0.541,0.041
18,0.034,0.406,0.541,0.020
10,0.023,0.383,0.540,0.055
198,0.002,0.442,0.536,0.019
135,0.011,0.430,0.531,0.028
22,0.003,0.431,0.526,0.041
162,0.027,0.451,0.518,0.004
78,0.087,0.358,0.509,0.047
172,0.061,0.355,0.502,0.082
23,0.030,0.472,0.491,0.008
116,0.003,0.503,0.485,0.008
51,0.100,0.379,0.482,0.039
186,0.019,0.444,0.479,0.058
97,0.017,0.504,0.476,0.004
115,0.103,0.424,0.465,0.008
129,0.029,0.433,0.465,0.073
71,0.045,0.469,0.464,0.023
121,0.073,0.399,0.463,0.065
188,0.062,0.437,0.462,0.039
25,0.077,0.450,0.462,0.011
49,0.087,0.412,0.454,0.047
14,0.045,0.446,0.452,0.057
105,0.077,0.414,0.437,0.071
26,0.083,0.397,0.436,0.084
53,0.056,0.479,0.436,0.029
191,0.044,0.483,0.435,0.038
192,0.034,0.479,0.430,0.057
13,0.035,0.501,0.427,0.037
138,0.107,0.440,0.425,0.028
29,0.087,0.393,0.423,0.097
67,0.059,0.437,0.421,0.083
179,0.039,0.490,0.420,0.051
77,0.060,0.469,0.417,0.053
20,0.074,0.497,0.417,0.013
28,0.116,0.425,0.414,0.045
190,0.075,0.440,0.408,0.077
184,0.021,0.487,0.406,0.086
178,0.073,0.503,0.404,0.020
15,0.039,0.450,0.400,0.112
148,0.050,0.431,0.396,0.123
21,0.043,0.519,0.396,0.042
152,0.005,0.550,0.394,0.052
185,0.071,0.451,0.393,0.085
133,0.087,0.450,0.393,0.071
61,0.054,0.507,0.392,0.048
144,0.061,0.441,0.391,0.106
60,0.034,0.542,0.389,0.035
86,0.095,0.469,0.388,0.048
155,0.011,0.511,0.388,0.091
143,0.099,0.452,0.386,0.062
193,0.008,0.527,0.382,0.083
37,0.081,0.414,0.380,0.126
7,0.066,0.494,0.379,0.061
6,0.068,0.445,0.379,0.108
109,0.113,0.386,0.370,0.131
171,0.050,0.573,0.367,0.010
58,0.060,0.523,0.365,0.053
140,0.097,0.528,0.363,0.012
50,0.083,0.504,0.363,0.050
100,0.043,0.473,0.362,0.122
2,0.022,0.517,0.362,0.099
4,0.011,0.595,0.361,0.033
63,0.084,0.497,0.360,0.058
187,0.027,0.575,0.360,0.038
31,0.088,0.479,0.359,0.074
72,0.149,0.469,0.357,0.025
119,0.002,0.568,0.353,0.076
79,0.053,0.489,0.353,0.105
56,0.049,0.527,0.348,0.075
199,0.001,0.542,0.348,0.109
111,0.114,0.466,0.344,0.077
117,0.029,0.589,0.341,0.041
173,0.019,0.617,0.337,0.026
174,0.031,0.610,0.336,0.023
170,0.106,0.493,0.336,0.065
93,0.117,0.538,0.336,0.010
127,0.111,0.507,0.336,0.047
168,0.070,0.574,0.331,0.025
149,0.045,0.609,0.331,0.015
102,0.145,0.496,0.328,0.030
197,0.050,0.596,0.325,0.029
122,0.035,0.508,0.319,0.138
55,0.089,0.529,0.317,0.065
27,0.049,0.633,0.312,0.007
98,0.116,0.511,0.311,0.061
120,0.014,0.673,0.309,0.003
46,0.022,0.657,0.309,0.012
195,0.041,0.513,0.308,0.138
81,0.034,0.623,0.308,0.035
159,0.129,0.479,0.303,0.089
33,0.134,0.474,0.302,0.091
