,celeba_age,identity,gender,race
169,0.037,0.907,0.050,0.006
189,0.076,0.898,0.015,0.011
95,0.063,0.893,0.036,0.008
47,0.014,0.886,0.016,0.085
110,0.006,0.873,0.097,0.023
113,0.061,0.843,0.022,0.074
126,0.079,0.843,0.047,0.032
12,0.076,0.824,0.061,0.038
54,0.054,0.822,0.112,0.013
52,0.079,0.821,0.021,0.078
151,0.121,0.798,0.027,0.054
64,0.053,0.790,0.120,0.037
83,0.072,0.781,0.021,0.126
89,0.095,0.779,0.044,0.082
128,0.062,0.778,0.059,0.101
106,0.158,0.776,0.032,0.034
70,0.006,0.767,0.204,0.023
139,0.039,0.758,0.143,0.060
9,0.065,0.757,0.139,0.039
104,0.066,0.754,0.114,0.067
62,0.016,0.754,0.181,0.048
42,0.177,0.751,0.054,0.018
76,0.025,0.744,0.150,0.081
147,0.073,0.744,0.127,0.056
66,0.034,0.743,0.187,0.035
153,0.020,0.740,0.172,0.068
85,0.034,0.733,0.067,0.166
24,0.038,0.731,0.086,0.144
17,0.009,0.726,0.047,0.217
88,0.060,0.713,0.045,0.183
112,0.089,0.709,0.144,0.058
131,0.098,0.708,0.181,0.012
34,0.091,0.704,0.074,0.131
39,0.012,0.703,0.273,0.012
41,0.022,0.698,0.230,0.049
164,0.096,0.697,0.030,0.176
124,0.007,0.689,0.221,0.083
163,0.108,0.687,0.068,0.137
157,0.034,0.684,0.217,0.065
158,0.017,0.681,0.223,0.079
114,0.125,0.679,0.097,0.100
16,0.007,0.679,0.290,0.024
194,0.002,0.677,0.297,0.024
90,0.095,0.675,0.135,0.095
120,0.014,0.673,0.309,0.003
183,0.079,0.670,0.218,0.033
82,0.048,0.665,0.219,0.068
48,0.082,0.665,0.076,0.177
30,0.148,0.664,0.118,0.071
177,0.025,0.663,0.276,0.036
156,0.081,0.663,0.198,0.059
1,0.008,0.663,0.243,0.087
68,0.065,0.660,0.160,0.114
91,0.150,0.659,0.023,0.168
8,0.099,0.658,0.090,0.153
46,0.022,0.657,0.309,0.012
44,0.048,0.655,0.231,0.065
175,0.149,0.654,0.160,0.038
134,0.025,0.654,0.150,0.171
59,0.039,0.651,0.213,0.097
45,0.055,0.649,0.270,0.025
107,0.131,0.647,0.177,0.045
181,0.108,0.644,0.110,0.138
137,0.003,0.642,0.193,0.162
123,0.032,0.639,0.224,0.104
146,0.084,0.635,0.184,0.097
69,0.060,0.634,0.235,0.071
96,0.120,0.633,0.202,0.044
27,0.049,0.633,0.312,0.007
141,0.062,0.630,0.282,0.025
108,0.076,0.628,0.243,0.053
74,0.005,0.626,0.251,0.118
81,0.034,0.623,0.308,0.035
136,0.056,0.618,0.208,0.118
173,0.019,0.617,0.337,0.026
84,0.098,0.617,0.258,0.027
0,0.081,0.615,0.208,0.096
32,0.040,0.611,0.188,0.161
11,0.000,0.610,0.225,0.164
174,0.031,0.610,0.336,0.023
149,0.045,0.609,0.331,0.015
94,0.045,0.606,0.178,0.172
142,0.091,0.603,0.129,0.177
150,0.015,0.601,0.239,0.144
99,0.043,0.601,0.286,0.070
101,0.054,0.600,0.184,0.162
118,0.088,0.597,0.180,0.135
57,0.003,0.597,0.259,0.141
167,0.145,0.596,0.219,0.040
197,0.050,0.596,0.325,0.029
4,0.011,0.595,0.361,0.033
161,0.030,0.594,0.261,0.115
80,0.131,0.593,0.211,0.065
182,0.099,0.591,0.173,0.137
117,0.029,0.589,0.341,0.041
92,0.024,0.588,0.262,0.126
5,0.087,0.587,0.120,0.206
176,0.034,0.584,0.282,0.099
130,0.094,0.583,0.134,0.189
103,0.044,0.583,0.294,0.079
65,0.060,0.581,0.152,0.207
180,0.098,0.580,0.301,0.021
165,0.091,0.580,0.232,0.097
75,0.110,0.578,0.298,0.015
40,0.106,0.577,0.240,0.078
187,0.027,0.575,0.360,0.038
160,0.059,0.574,0.180,0.186
168,0.070,0.574,0.331,0.025
35,0.033,0.574,0.223,0.171
171,0.050,0.573,0.367,0.010
196,0.104,0.571,0.278,0.047
119,0.002,0.568,0.353,0.076
154,0.089,0.567,0.299,0.045
3,0.139,0.567,0.266,0.028
145,0.033,0.561,0.270,0.136
19,0.113,0.559,0.202,0.126
87,0.003,0.557,0.288,0.153
125,0.122,0.552,0.197,0.129
152,0.005,0.550,0.394,0.052
38,0.079,0.547,0.224,0.150
60,0.034,0.542,0.389,0.035
132,0.097,0.542,0.255,0.106
199,0.001,0.542,0.348,0.109
43,0.050,0.540,0.190,0.220
93,0.117,0.538,0.336,0.010
55,0.089,0.529,0.317,0.065
140,0.097,0.528,0.363,0.012
56,0.049,0.527,0.348,0.075
193,0.008,0.527,0.382,0.083
58,0.060,0.523,0.365,0.053
166,0.077,0.519,0.275,0.130
21,0.043,0.519,0.396,0.042
2,0.022,0.517,0.362,0.099
195,0.041,0.513,0.308,0.138
98,0.116,0.511,0.311,0.061
155,0.011,0.511,0.388,0.091
122,0.035,0.508,0.319,0.138
127,0.111,0.507,0.336,0.047
61,0.054,0.507,0.392,0.048
50,0.083,0.504,0.363,0.050
97,0.017,0.504,0.476,0.004
116,0.003,0.503,0.485,0.008
178,0.073,0.503,0.404,0.020
13,0.035,0.501,0.427,0.037
63,0.084,0.497,0.360,0.058
20,0.074,0.497,0.417,0.013
102,0.145,0.496,0.328,0.030
7,0.066,0.494,0.379,0.061
170,0.106,0.493,0.336,0.065
179,0.039,0.490,0.420,0.051
79,0.053,0.489,0.353,0.105
184,0.021,0.487,0.406,0.086
191,0.044,0.483,0.435,0.038
31,0.088,0.479,0.359,0.074
159,0.129,0.479,0.303,0.089
53,0.056,0.479,0.436,0.029
192,0.034,0.479,0.430,0.057
33,0.134,0.474,0.302,0.091
100,0.043,0.473,0.362,0.122
23,0.030,0.472,0.491,0.008
77,0.060,0.469,0.417,0.053
72,0.149,0.469,0.357,0.025
86,0.095,0.469,0.388,0.048
71,0.045,0.469,0.464,0.023
111,0.114,0.466,0.344,0.077
143,0.099,0.452,0.386,0.062
162,0.027,0.451,0.518,0.004
185,0.071,0.451,0.393,0.085
133,0.087,0.450,0.393,0.071
15,0.039,0.450,0.400,0.112
25,0.077,0.450,0.462,0.011
14,0.045,0.446,0.452,0.057
6,0.068,0.445,0.379,0.108
186,0.019,0.444,0.479,0.058
198,0.002,0.442,0.536,0.019
144,0.061,0.441,0.391,0.106
190,0.075,0.440,0.408,0.077
138,0.107,0.440,0.425,0.028
67,0.059,0.437,0.421,0.083
188,0.062,0.437,0.462,0.039
36,0.022,0.435,0.542,0.002
129,0.029,0.433,0.465,0.073
148,0.050,0.431,0.396,0.123
22,0.003,0.431,0.526,0.041
135,0.011,0.430,0.531,0.028
28,0.116,0.425,0.414,0.045
115,0.103,0.424,0.465,0.008
105,0.077,0.414,0.437,0.071
37,0.081,0.414,0.380,0.126
49,0.087,0.412,0.454,0.047
73,0.010,0.408,0.541,0.041
18,0.034,0.406,0.541,0.020
121,0.073,0.399,0.463,0.065
26,0.083,0.397,0.436,0.084
29,0.087,0.393,0.423,0.097
109,0.113,0.386,0.370,0.131
10,0.023,0.383,0.540,0.055
51,0.100,0.379,0.482,0.039
78,0.087,0.358,0.509,0.047
172,0.061,0.355,0.502,0.082
