,celeba_age,identity,gender,race
43,0.050,0.540,0.190,0.220
17,0.009,0.726,0.047,0.217
65,0.060,0.581,0.152,0.207
5,0.087,0.587,0.120,0.206
130,0.094,0.583,0.134,0.189
160,0.059,0.574,0.180,0.186
88,0.060,0.713,0.045,0.183
48,0.082,0.665,0.076,0.177
142,0.091,0.603,0.129,0.177
164,0.096,0.697,0.030,0.176
94,0.045,0.606,0.178,0.172
134,0.025,0.654,0.150,0.171
35,0.033,0.574,0.223,0.171
91,0.150,0.659,0.023,0.168
85,0.034,0.733,0.067,0.166
11,0.000,0.610,0.225,0.164
137,0.003,0.642,0.193,0.162
101,0.054,0.600,0.184,0.162
32,0.040,0.611,0.188,0.161
8,0.099,0.658,0.090,0.153
87,0.003,0.557,0.288,0.153
38,0.079,0.547,0.224,0.150
24,0.038,0.731,0.086,0.144
150,0.015,0.601,0.239,0.144
57,0.003,0.597,0.259,0.141
195,0.041,0.513,0.308,0.138
181,0.108,0.644,0.110,0.138
122,0.035,0.508,0.319,0.138
182,0.099,0.591,0.173,0.137
163,0.108,0.687,0.068,0.137
145,0.033,0.561,0.270,0.136
118,0.088,0.597,0.180,0.135
109,0.113,0.386,0.370,0.131
34,0.091,0.704,0.074,0.131
166,0.077,0.519,0.275,0.130
125,0.122,0.552,0.197,0.129
92,0.024,0.588,0.262,0.126
83,0.072,0.781,0.021,0.126
19,0.113,0.559,0.202,0.126
37,0.081,0.414,0.380,0.126
148,0.050,0.431,0.396,0.123
100,0.043,0.473,0.362,0.122
74,0.005,0.626,0.251,0.118
136,0.056,0.618,0.208,0.118
161,0.030,0.594,0.261,0.115
68,0.065,0.660,0.160,0.114
15,0.039,0.450,0.400,0.112
199,0.001,0.542,0.348,0.109
6,0.068,0.445,0.379,0.108
144,0.061,0.441,0.391,0.106
132,0.097,0.542,0.255,0.106
79,0.053,0.489,0.353,0.105
123,0.032,0.639,0.224,0.104
128,0.062,0.778,0.059,0.101
114,0.125,0.679,0.097,0.100
2,0.022,0.517,0.362,0.099
176,0.034,0.584,0.282,0.099
165,0.091,0.580,0.232,0.097
146,0.084,0.635,0.184,0.097
59,0.039,0.651,0.213,0.097
29,0.087,0.393,0.423,0.097
0,0.081,0.615,0.208,0.096
90,0.095,0.675,0.135,0.095
155,0.011,0.511,0.388,0.091
33,0.134,0.474,0.302,0.091
159,0.129,0.479,0.303,0.089
1,0.008,0.663,0.243,0.087
184,0.021,0.487,0.406,0.086
47,0.014,0.886,0.016,0.085
185,0.071,0.451,0.393,0.085
26,0.083,0.397,0.436,0.084
67,0.059,0.437,0.421,0.083
124,0.007,0.689,0.221,0.083
193,0.008,0.527,0.382,0.083
89,0.095,0.779,0.044,0.082
172,0.061,0.355,0.502,0.082
76,0.025,0.744,0.150,0.081
103,0.044,0.583,0.294,0.079
158,0.017,0.681,0.223,0.079
